ID,Fase,Tarea,Descripcion,Depende_de,Semana_Inicio,Semana_Fin,Duracion_Semanas,Horas_Consultor_BI,Horas_ABAP_Developer,Horas_Funcional_SAP,Horas_Project_Manager,Total_Horas,Nota_S4HANA
1,Fase_0,Diseño arquitectura preliminar,Arquitectura BigQuery 3 capas + conectividad SAP SLT + definición preliminar tablas SAP,,0,0,1,8,0,6,0,14,
2,Fase_0,Estimación esfuerzos ETL,Análisis volumetría y complejidad 18 transacciones SAP + identificación tablas por módulo,,0,0,1,10,0,8,0,18,
3,Fase_0,Kick-off y alineamiento,Reunión inicial con todos los stakeholders + presentación plan,2,1,1,1,4,0,6,4,14,
5,Fase_0,Inventario técnico SAP y BigQuery,Revisión dataset casa_bi BigQuery (Consultor BI) + análisis permisos SAP + tablas por módulo + SLT básico (ABAP Dev consultoría) + documentación,3,1,3,2,24,16,20,4,64,
6,Fase_0,Gestión de tickets críticos,Revisión problemas detectados (permisos tablas faltantes seguimiento) - ABAP Dev apoya gestión SAP puntual,5,3,4,2,8,12,22,6,48,
7,Fase_0,Workshops y análisis Z,Workshops priorización 18 transacciones + análisis profundo ZLEL008 y ZVEL015 (ABAP Dev análisis crítico) + definición tablas Z,5,3,5,2,14,24,34,10,82,
8,Fase_0,Diseño y POC,Arquitectura 3 capas definitiva (Consultor BI) + POC técnico end-to-end + configuración SLT inicial (ABAP Dev) + validación funcional SAP,6+7,5,6,2,28,18,14,0,60,
9,Fase_0,Documentación y Go/No-Go,Documento arquitectura + backlog priorizado + listado completo tablas SAP + plan detallado + reunión Go/No-Go,8,6,6,1,8,0,12,8,28,
10,Fase_1,Setup infraestructura completa,Datasets BigQuery (Consultor BI) + configuración SAP SLT (ABAP Dev apoyo puntual) + conectores + service accounts + Cloud Functions + validación accesos,9,6,8,2,48,20,8,8,84,
11,Fase_1,Pipelines Módulo FI (4 trans),FAGLL03 + FB03 + F.08 + F.01 - ABAP Dev extrae datos SAP capa RAW + Consultor BI pipelines BigQuery - Tablas: ACDOCA ACDOCA_T BKPF SKA1 - desarrollo + validación + testing,10,8,11,3,52,28,26,4,110,"ACDOCA/ACDOCA_T sustituyen BSEG/FAGLFLEXA/BS**; listado clásico sólo referencial"
12,Fase_1,Pipelines Módulo SD (2 trans),VA05 + KE24 - ABAP Dev extrae RAW + Consultor BI transforma - Tablas: VBAK VBAP VBEP KNA1 CE1XXXX CE4XXXX - desarrollo + validación + testing,10,11,13,2,36,18,20,4,78,
13,Fase_1,Pipelines MM Procurement (3 trans),ME2L + ME23N + MM60 - ABAP Dev extrae RAW + Consultor BI transforma - Tablas: EKKO EKPO MBEW CKMLCR - desarrollo + validación + testing,10,13,15,3,40,20,24,4,88,
14,Fase_1,Pipelines MM Inventory (3 trans),MB59 + MB5B + MCHB - ABAP Dev extrae RAW + Consultor BI transforma - Tablas: MSEG MARD MCHB - desarrollo + validación + testing,13,15,17,3,38,18,20,4,80,
15,Fase_1,Pipeline ZLEL008 (custom MRP),ZLEL008 (custom MRP compleja) - ABAP Dev lidera análisis y extracción Z-tables + Consultor BI pipelines - análisis + desarrollo + validación funcional + testing extendido,14,17,20,3,40,32,26,4,102,
16,Fase_1,Pipelines CO y FI-AP/AR (4 trans),KSB1 + KE24 + FBL1N + FBL5N - ABAP Dev extrae RAW + Consultor BI transforma - Tablas: AUFK COBK ACDOCA - desarrollo + validación + testing,12,20,22,3,48,24,30,6,108,"ACDOCA sustituye COEP y vistas BSIK/BSAK vía universal journal"
17,Fase_1,Pipelines Master Data y ZVEL015,XK03 + XD03 + ZVEL015 (pricing) - ABAP Dev extrae Z-pricing + Consultor BI transforma - Tablas: LFA1 LFB1 LFM1 KNA1 KNB1 KNVV - desarrollo + validación + testing,15,22,24,3,42,28,28,6,104,
18,Fase_1,Optimización y automatización,Tuning queries (Consultor BI) + monitoreo SLT (ABAP Dev consultoría) + CI/CD + testing integral 18 transacciones + validación funcional SAP + documentación técnica,11+12+13+14+15+16+17,24,26,2,50,12,26,10,98,
19,Fase_2,Modelo dimensional completo,Star schema: 8 dimensiones + 6 tablas hechos + vistas SQL + capa semántica + definición KPIs con SAP Functional - Consultor BI lidera,18,26,28,3,88,0,24,8,120,
20,Fase_2,Dashboards Financieros (3),Financiero General + OPEX + Controlling - Definición SAP Functional + desarrollo Consultor BI - Tablas: ACDOCA ACDOCA_T BKPF - 3 dashboards con RLS,19,28,30,3,66,0,16,5,87,"Modelo se basa en ACDOCA; tablas clásicas no se replican"
21,Fase_2,Dashboards Ventas y Rentabilidad (3),Ventas + Rentabilidad + Regional - Definición SAP Functional + desarrollo Consultor BI - Tablas: VBAK VBAP CE1XXXX - 3 dashboards con RLS,19,28,30,3,70,0,16,5,91,
22,Fase_2,Dashboards Supply Chain (3),Inventario + Supply Chain + Compras - Definición SAP Functional + desarrollo Consultor BI - Tablas: MARD MCHB MSEG EKKO EKPO - 3 dashboards con RLS,19,28,30,3,64,0,14,5,83,
23,Fase_2,Dashboards Tesorería y Ejecutivo (3),CxP + CxC + Dashboard Ejecutivo - Definición SAP Functional + desarrollo Consultor BI - Tablas: ACDOCA + consolidado - 3 dashboards con RLS,20+21+22,30,32,3,68,0,16,8,92,"BS** vistas sustituidas por ACDOCA; no replicadas salvo compatibilidad"
24,Fase_2,Testing y UAT completo,Testing integrado + coordinación SAP Functional + 4 fases UAT (Financiero + Comercial + Supply + Ejecutivo) + ajustes post-UAT,23,32,35,4,45,0,58,28,131,
25,Fase_2,Ajustes finales documentación capacitación y Go-Live,Documentación funcional con SAP Functional + capacitación usuarios + preparación + Go-Live + cierre proyecto,24,35,36,2,36,0,38,22,96,
