ID,Fase,Tarea,Descripcion,Depende_de,Semana_Inicio,Semana_Fin,Duracion_Semanas,JMB_Horas,Lucia_Horas,Linda_Horas,Total_Horas
1,Fase_0,Diseño arquitectura preliminar,Arquitectura BigQuery 3 capas + conectividad SAP SLT + definición preliminar tablas SAP,,0,0,1,6,4,0,10
2,Fase_0,Estimación esfuerzos ETL,Análisis volumetría y complejidad 18 transacciones SAP + identificación tablas por módulo,,0,0,1,8,6,0,14
3,Fase_0,Kick-off y alineamiento,Reunión inicial con todos los stakeholders + presentación plan,2,1,1,1,3,4,3,10
5,Fase_0,Inventario técnico completo,Revisión dataset CASA BigQuery + análisis permisos SAP + estado actual + listado tablas por módulo + documentación,3,1,2,2,20,18,3,41
6,Fase_0,Gestión de tickets críticos,Revisión de problemas detectados (permisos tablas faltantes seguimiento),5,2,3,2,8,22,5,35
7,Fase_0,Workshops y análisis Z,Workshops priorización 18 transacciones + análisis profundo ZLEL008 y ZVEL015 + definición tablas Z,5,2,4,2,20,36,10,66
8,Fase_0,Diseño y POC,Arquitectura 3 capas definitiva + POC técnico end-to-end + validación funcional SAP,6+7,4,5,2,24,12,0,36
9,Fase_0,Documentación y Go/No-Go,Documento arquitectura + backlog priorizado + listado completo tablas SAP + plan detallado + reunión Go/No-Go,8,5,6,1,6,10,7,23
10,Fase_1,Setup infraestructura completa,Datasets BigQuery + particionamiento + service accounts + conectores SAP SLT + Cloud Functions + validación accesos tablas SAP,9,6,8,2,60,6,7,73
11,Fase_1,Pipelines Módulo FI (4 trans),FAGLL03 + FB03 + F.08 + F.01 - Tablas suministradas por SAP Functional: FAGLFLEXA BKPF BSEG FAGLFLEXT SKA1 BSID BSAD - desarrollo + validación + testing,10,8,11,3,60,26,3,89
12,Fase_1,Pipelines Módulo SD (2 trans),VA05 + KE24 - Tablas suministradas por SAP Functional: VBAK VBAP VBEP KNA1 CE1xxxx CE4xxxx - desarrollo + validación + testing,10,11,13,2,38,20,3,61
13,Fase_1,Pipelines MM Procurement (3 trans),ME2L + ME23N + MM60 - Tablas suministradas por SAP Functional: EKKO EKPO MBEW CKMLCR - desarrollo + validación + testing,10,13,15,3,44,24,3,71
14,Fase_1,Pipelines MM Inventory (3 trans),MB59 + MB5B + MCHB - Tablas suministradas por SAP Functional: MSEG MARD MCHB - desarrollo + validación + testing,13,15,17,3,42,20,3,65
15,Fase_1,Pipeline ZLEL008 (custom MRP),ZLEL008 (custom MRP compleja) - Z-tables suministradas por SAP Functional - análisis + desarrollo + validación funcional + testing extendido,14,17,20,3,48,26,3,77
16,Fase_1,Pipelines CO y FI-AP/AR (4 trans),KSB1 + KE24 análisis + FBL1N + FBL5N - Tablas suministradas por SAP Functional: COBK COEP AUFK BSIK BSAK - desarrollo + validación + testing,12,20,23,3,56,30,6,92
17,Fase_1,Pipelines Master Data y ZVEL015,XK03 + XD03 + ZVEL015 (pricing) - Tablas suministradas por SAP Functional: LFA1 LFB1 LFM1 KNA1 KNB1 KNVV + Z-pricing - desarrollo + validación + testing,15,23,26,3,48,28,6,82
18,Fase_1,Optimización y automatización,Tuning queries + CI/CD + monitoreo + testing integral 18 transacciones + validación funcional SAP + documentación técnica,11+12+13+14+15+16+17,26,28,3,50,26,10,86
19,Fase_2,Modelo dimensional completo,Star schema: 8 dimensiones + 6 tablas hechos + vistas SQL + capa semántica + definición KPIs con SAP Functional,18,28,30,3,86,22,8,116
20,Fase_2,Dashboards Financieros (3),Financiero General + OPEX + Controlling - Definición SAP Functional + desarrollo - Tablas: BKPF BSEG FAGLFLEXA COEP COBK - 3 dashboards con RLS,19,30,32,3,64,14,4,82
21,Fase_2,Dashboards Ventas y Rentabilidad (3),Ventas + Rentabilidad + Regional - Definición SAP Functional + desarrollo - Tablas: VBAK VBAP CE1xxxx - 3 dashboards con RLS,19,30,32,3,68,14,4,86
22,Fase_2,Dashboards Supply Chain (3),Inventario + Supply Chain + Compras - Definición SAP Functional + desarrollo - Tablas: MARD MCHB MSEG EKKO EKPO - 3 dashboards con RLS,19,30,32,3,62,12,4,78
23,Fase_2,Dashboards Tesorería y Ejecutivo (3),CxP + CxC + Dashboard Ejecutivo - Definición SAP Functional + desarrollo - Tablas: BSIK BSAK BSID BSAD + consolidado - 3 dashboards con RLS,20+21+22,32,35,3,66,14,7,87
24,Fase_2,Testing y UAT completo,Testing integrado + coordinación SAP Functional + 4 fases UAT (Financiero + Comercial + Supply + Ejecutivo) + ajustes post-UAT,23,35,39,4,41,55,26,122
25,Fase_2,Ajustes finales documentación capacitación y Go-Live,Documentación funcional con SAP Functional + capacitación usuarios + preparación + Go-Live + cierre proyecto,24,39,42,3,33,35,20,88
